Manuel_term_extracted
christian bale
futuristic
kurt wimmer
science fiction
action
prozium
john preston
violence
emotion
fighters
energy
martial arts
gun
errol partridge
matrix
dystopian
feelings
dark
fighting
direction
berlin
killing
war
materials
feel
future
invention
gunplay
combat
soldiers
armed
